,Title,Location,Area Per Sqft,Builder,Status,Price in Lakhs
0,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
1,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
2,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
4,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
5,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
6,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
7,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
9,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
10,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
11,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
12,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
13,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
14,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
15,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
16,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
17,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
18,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
19,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
20,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
21,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
22,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
23,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
24,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
25,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
26,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
27,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
28,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
29,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
30,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
31,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
32,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
33,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
34,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
35,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
36,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
37,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
38,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
39,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
40,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
41,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
42,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
43,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
44,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
45,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
46,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
47,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
48,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
49,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
50,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
51,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
52,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
53,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
54,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
55,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
56,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
57,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
58,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
59,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
60,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
61,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
62,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
63,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
64,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
65,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
66,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
67,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
68,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
69,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
70,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
71,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
72,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
73,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
74,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
75,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
76,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
77,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
78,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
79,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
80,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
81,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
82,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
83,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
84,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
85,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
86,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
87,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
88,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
89,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
90,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
91,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
92,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
93,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
94,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
95,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
96,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
97,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
98,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
99,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
100,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
101,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
102,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
103,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
104,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
105,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
106,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
107,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
108,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
109,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
110,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
111,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
112,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
113,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
114,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
115,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
116,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
117,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
118,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
119,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
120,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
121,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
122,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
123,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
124,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
125,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
126,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
127,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
128,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
129,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
130,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
131,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
132,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
133,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
134,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
135,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
136,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
137,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
138,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
139,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
140,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
141,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
142,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
143,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
144,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
145,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
146,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
147,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
148,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
149,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
150,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
151,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
152,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
153,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
154,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
155,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
156,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
157,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
158,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
159,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
160,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
161,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
162,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
163,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
164,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
165,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
166,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
167,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
168,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
169,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
170,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
171,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
172,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
173,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
174,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
175,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
176,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
177,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
178,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
179,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
180,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
181,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
182,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
183,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
184,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
185,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
186,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
187,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
188,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
189,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
190,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
191,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
192,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
193,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
194,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
195,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
196,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
197,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
198,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
199,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
200,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
201,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
202,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
203,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
204,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
205,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
206,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
207,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
208,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
209,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
210,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
211,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
212,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
213,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
214,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
215,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
216,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
217,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
218,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
219,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
220,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
221,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
222,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
223,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
224,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
225,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
226,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
227,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
228,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
229,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
230,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
231,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
232,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
233,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
234,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
235,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
236,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
237,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
238,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
239,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
240,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
241,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
242,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
243,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
244,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
245,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
246,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
247,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
248,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
249,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
250,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
251,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
252,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
253,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
254,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
255,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
256,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
257,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
258,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
259,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
260,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
261,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
262,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
263,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
264,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
265,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
266,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
267,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
268,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
269,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
270,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
271,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
272,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
273,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
274,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
275,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
276,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
277,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
278,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
279,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
280,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
281,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
282,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
283,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
284,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
285,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
286,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
287,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
288,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
289,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
290,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
291,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
292,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
293,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
294,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
295,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
296,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
297,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
298,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
299,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
300,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
301,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
302,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
303,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
304,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
305,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
306,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
307,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
308,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
309,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
310,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
311,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
312,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
