,Title,Location,Area Per Sqft,Builder,Status,Price in Lakhs
3536,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3537,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3538,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3539,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3540,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3541,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3542,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3543,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3544,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3545,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3546,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3547,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3548,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3549,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3550,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3551,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3552,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3553,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3554,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3555,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3556,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3557,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3558,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3559,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3560,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3561,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3562,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3563,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3564,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3565,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3566,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3567,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3568,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3569,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3570,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3571,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3572,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3573,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3574,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3575,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3576,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3577,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3578,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3579,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3580,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3581,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3582,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3583,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3584,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3585,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3586,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3587,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3588,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3589,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3590,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3591,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3592,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3593,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3594,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3595,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3596,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3597,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3598,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3599,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3600,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3601,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3602,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3603,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3604,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3605,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3606,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3607,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3608,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3609,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3610,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3611,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3612,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3613,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3614,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3615,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3616,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3617,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3618,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3619,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3620,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3621,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3622,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3623,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3624,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3625,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3626,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3627,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3628,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3629,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3630,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3631,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3632,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3633,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3634,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3635,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3636,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3637,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3638,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3639,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3640,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3641,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3642,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3643,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3644,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3645,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3646,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3647,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3648,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3649,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3650,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3651,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3652,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3653,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3654,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3655,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3656,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3657,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3658,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3659,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3660,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3661,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3662,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3663,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3664,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3665,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3666,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3667,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3668,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3669,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3670,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3671,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3672,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3673,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3674,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3675,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3676,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3677,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3678,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3679,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3680,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3681,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3682,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3683,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3684,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3685,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3686,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
